workload	category	backend	sample	elapsed_ns	user_cpu_ns	system_cpu_ns	voluntary_context_switches	involuntary_context_switches	operations	byte_count
seq-10	application	ptrace	7	66330708	2202000	50245000	327	151	0	0
seq-10	application	kvm	7	116335273	4059000	11273000	12	3	0	0
head-readme	application	ptrace	7	66081862	4378000	49367000	344	163	0	0
head-readme	application	kvm	7	116855058	2270000	14896000	14	2	0	0
base64-readme	application	ptrace	7	66432932	3444000	57010000	367	178	0	0
base64-readme	application	kvm	7	116757011	3843000	13710000	13	4	0	0
id-u	application	ptrace	7	116804692	3052000	67002000	452	220	0	0
id-u	application	kvm	7	116277175	3910000	14974000	13	2	0	0
printf	application	ptrace	7	67936826	3049000	51350000	317	159	0	0
printf	application	kvm	7	166744819	2018000	14263000	13	4	0	0
cat-stream	throughput	ptrace	7	216884718	4933000	188619000	1379	676	0	16777216
cat-stream	throughput	kvm	7	266632484	7125000	18846000	12	3	0	16777216
syscall-baseline	microbaseline	ptrace	7	66423438	2438000	44241000	285	139	0	0
syscall-baseline	microbaseline	kvm	7	118158299	5086000	14227000	13	4	0	0
syscall-loop	syscall	ptrace	7	5728826163	36124000	5420017000	40372	20155	10000	0
syscall-loop	syscall	kvm	7	219478520	84407000	67270000	13	4	10000	0
pipe-baseline	microbaseline	ptrace	7	66788270	3320000	47094000	310	146	0	0
pipe-baseline	microbaseline	kvm	7	116340711	4372000	11811000	13	4	0	0
pipe-roundtrip	boundary	ptrace	7	1219350812	11761000	1143758000	8340	4159	2000	0
pipe-roundtrip	boundary	kvm	7	217260626	57328000	29919000	13	5	2000	0
echo	application	kvm	8	117725595	4142000	13391000	14	2	0	0
echo	application	ptrace	8	66303387	3652000	47559000	320	154	0	0
ls-64	application	kvm	8	317380522	3925000	17774000	14	3	0	0
ls-64	application	ptrace	8	116973769	3896000	80036000	545	267	0	0
true	application	kvm	8	216680128	1943000	14696000	14	2	0	0
true	application	ptrace	8	66987872	263000	47277000	288	138	0	0
pwd	application	kvm	8	116768888	1175000	15456000	12	3	0	0
pwd	application	ptrace	8	66570110	4886000	49099000	327	156	0	0
seq-10	application	kvm	8	116894759	4114000	14340000	14	3	0	0
seq-10	application	ptrace	8	66792517	2178000	51147000	321	153	0	0
head-readme	application	kvm	8	66778626	1017000	18034000	13	2	0	0
head-readme	application	ptrace	8	66550421	3862000	50780000	339	164	0	0
base64-readme	application	kvm	8	167007456	5626000	14839000	14	4	0	0
base64-readme	application	ptrace	8	167623838	2312000	55601000	364	176	0	0
